,sst,sst_lag_1d,sst_lag_2d,sst_lag_4d,sst_lag_7d,tp_mm_daily,tp_mm_daily_lag_1d,tp_mm_daily_lag_2d,tp_mm_daily_lag_4d,tp_mm_daily_lag_7d,mhw,mhw_lag_1d,mhw_lag_2d,mhw_lag_4d,mhw_lag_7d,sst_anom,sst_anom_lag_1d,sst_anom_lag_2d,sst_anom_lag_4d,sst_anom_lag_7d,tsm,tsm_lag_1d,tsm_lag_2d,tsm_lag_4d,tsm_lag_7d,chl,land_cov_near,ecoli_2class
48390,14.0,13.940002,13.889984,13.600006,13.76001,10.886669,5.3224564,7.226944,26.411057,12.338638,0.0,0.0,0.0,1.0,1.0,0.71157837,0.7105408,0.72946167,0.67788696,1.066864,0.27510643005371094,0.16948498785495758,0.34508439898490906,0.251803994178772,0.28645575046539307,0.5880528688430786,110,Good
78451,13.660004,13.269989,13.139984,12.790009,12.429993,0.002861023,0.005722046,0.13065338,0.53691864,0.06866455,1.0,2.0,1.0,1.0,1.0,2.4231567,2.1273499,2.0884094,1.9147339,1.8068237,1.2418432235717773,1.7292429208755493,1.9323797225952148,1.5502897500991821,1.4673668146133423,3.6918485164642334,210,Good
52133,18.079987,18.480011,18.829987,19.420013,19.600006,0.0,7.2598457,0.01001358,0.2374649,0.6456375,0.0,1.0,1.0,1.0,1.0,0.14749146,0.49850464,0.84747314,1.2865295,1.3237,6.872798442840576,10.941009521484375,17.710800170898438,8.664200782775879,3.9754562377929688,6.013228416442871,190,Good
76935,16.880005,16.670013,16.630005,16.700012,17.299988,1.1615753,0.29802322,0.19598007,16.091347,0.038146973,0.0,0.0,0.0,0.0,0.0,0.32052612,0.05947876,0.030517578,0.14108276,0.6531372,0.5019293427467346,0.6733039617538452,1.0409201383590698,0.5422456860542297,0.20484307408332825,1.4189753532409668,190,Good
23001,14.029999,14.079987,13.920013,13.529999,12.959991,0.0076293945,0.0,0.0,0.0,6.7896843,0.0,0.0,0.0,0.0,0.0,0.08105469,0.15841675,0.19107056,-0.01473999,-0.2826538,1.9921112060546875,2.2609124183654785,1.496073842048645,2.6050283908843994,2.0593087673187256,6.42929220199585,190,Good
58040,17.559998,17.48999,17.380005,17.76001,17.869995,0.0023841858,0.038146973,5.628109,14.577389,0.42152405,0.0,0.0,0.0,0.0,0.0,0.13421631,0.12631226,0.073150635,0.5210571,0.8200073,2.3430516719818115,0.5739166140556335,0.37665465474128723,11.590123176574707,1.6162903308868408,2.1671948432922363,190,Good
54111,10.359985,10.26001,10.100006,10.410004,10.019989,1.4896393,1.642704,1.57547,8.442402,0.39625168,0.0,0.0,0.0,0.0,0.0,-0.012634277,-0.037353516,-0.15631104,0.2842102,0.106292725,3.0933077335357666,2.004770278930664,6.582264423370361,1.8793673515319824,2.315765380859375,3.581834554672241,200,Good
47196,12.269989,12.320007,12.429993,12.220001,11.859985,0.0,0.0,0.0,0.0743866,0.9818077,1.0,1.0,1.0,0.0,0.0,1.334198,1.5057983,1.7605286,1.707367,1.5441895,2.1516835689544678,2.2778828144073486,2.1171889305114746,1.8774324655532837,2.407386541366577,3.277778148651123,190,Good
49745,17.519989,17.809998,17.639984,17.519989,16.420013,1.0485649,0.002861023,0.0,0.02670288,0.0,0.0,0.0,1.0,0.0,1.0,1.8163147,2.1600037,1.9968262,1.9747314,1.0047607,1.0720317363739014,0.6674246788024902,0.6135910749435425,0.7641867995262146,0.827515184879303,0.7525399327278137,130,Good
74175,16.959991,16.829987,16.730011,16.440002,15.950012,0.00333786,2.8738976,0.3142357,0.0019073486,0.37288666,1.0,1.0,1.0,1.0,1.0,1.9599915,1.9236755,1.9331665,1.9531555,1.730011,2.5440773963928223,2.6826791763305664,1.7465400695800781,1.9950512647628784,7.984318733215332,2.563507318496704,190,Good
67105,15.119995,15.139984,15.170013,15.049988,15.26001,0.016212463,0.031471252,0.11396408,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.2799988,2.405243,2.4994812,2.5457764,3.0321045,1.2963472604751587,1.2686347961425781,1.2793763875961304,1.2302899360656738,0.6258301138877869,1.5767149925231934,210,Good
48401,14.399994,14.26001,14.100006,13.769989,13.820007,13.854504,5.496502,9.276867,30.941486,13.550758,0.0,0.0,0.0,0.0,0.0,0.85632324,0.7831726,0.70526123,0.6405029,0.92211914,0.3475043773651123,0.2716893255710602,0.3415564298629761,0.33814406394958496,0.522413969039917,0.5965835452079773,200,Good
78432,14.040009,13.980011,13.859985,13.179993,12.850006,0.0,0.0009536743,0.0,0.29420853,0.039100647,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,-9.223372036854776e+18,2.5542297,2.5894775,2.5736694,2.0526123,1.9773865,5.766796112060547,4.516112804412842,6.274636268615723,2.1274893283843994,1.8593101501464844,6.14418363571167,210,Good
37051,16.130005,16.070007,15.889984,15.139984,15.630005,0.079631805,0.0014305115,6.4344406,1.9388199,0.0009536743,1.0,0.0,0.0,1.0,2.0,2.0552673,2.04422,1.9620972,1.4057617,2.1799927,6.5636820793151855,9.083403587341309,7.53348445892334,9.044573783874512,3.358276128768921,4.717215061187744,200,Good
44876,20.720001,20.399994,20.079987,19.880005,20.109985,0.00667572,0.0,0.0,3.060341,5.522728,2.0,2.0,2.0,1.0,3.0,2.6094666,2.3294678,2.0652466,1.9168396,2.3052368,0.7250857353210449,2.826672315597534,2.049365758895874,4.717123985290527,2.004211664199829,0.9014571905136108,11,Good
53818,18.019989,17.929993,17.809998,18.089996,18.040009,0.008583069,0.0,0.0,0.0009536743,0.0,0.0,1.0,1.0,0.0,0.0,1.0264893,0.91000366,0.7090149,0.86099243,0.54000854,24.49552345275879,13.865921974182129,21.513626098632812,12.600854873657227,5.391747951507568,8.956777572631836,190,Good
48397,14.309998,14.209991,14.059998,13.709991,13.920013,5.496502,9.276867,1.3365746,2.3226738,1.0976791,0.0,0.0,0.0,1.0,1.0,0.8468323,0.8126221,0.74209595,0.6452637,1.0921326,0.27510643005371094,0.31726881861686707,0.6543520092964172,0.34916260838508606,0.4409436285495758,0.5880528688430786,190,Good
7257,11.309998,11.059998,10.51001,10.179993,9.619995,0.0,0.00047683716,0.19168854,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9700012,0.7631531,0.27999878,0.12841797,-0.19580078,2.1063132286071777,1.7841347455978394,1.849921464920044,2.1786434650421143,1.5999619960784912,3.6902947425842285,190,Good
33631,18.609985,18.579987,18.480011,18.339996,18.369995,0.0,0.0,0.0,0.0023841858,0.009059906,0.0,0.0,0.0,0.0,0.0,0.46209717,0.4163208,0.3305359,0.29421997,0.40368652,1.1255054473876953,0.7668595314025879,0.6982077360153198,0.8596943020820618,1.571711778640747,1.1998217105865479,190,Good
43406,14.76001,14.709991,14.410004,14.070007,14.049988,0.04053116,0.0,0.0,0.036239624,0.0,1.0,1.0,1.0,0.0,0.0,2.0552673,2.130005,1.7952576,1.4631653,1.7147217,1.4016937017440796,2.062764883041382,2.3526153564453125,1.4603809118270874,1.6773078441619873,2.4730403423309326,190,Good
